Overlap,Length,Incompatibility,PrivacySize,UtilitySize
"55.556%","0","True","9","9"
"100.000%","0","True","8","9"
"0.000%","20","False","9","9"
"50.000%","0","True","12","9"
"9.091%","0","True","11","9"
"0.000%","45","False","11","9"
"50.000%","0","True","6","9"
"100.000%","0","True","11","9"
"100.000%","0","True","9","9"
"50.000%","0","True","6","9"
"66.667%","0","True","8","9"
"100.000%","0","True","11","9"
"0.000%","30","False","12","9"
"100.000%","0","True","7","9"
"12.500%","0","True","8","9"
"30.000%","0","True","10","9"
"100.000%","0","True","11","9"
"41.667%","0","True","12","9"
"0.000%","10","False","8","9"
"0.000%","60","False","12","9"
"25.000%","0","True","12","9"
"0.000%","20","False","10","9"
"100.000%","0","True","6","9"
"100.000%","0","True","6","9"
"27.273%","0","True","11","9"
"0.000%","6","False","6","9"
"100.000%","0","True","6","9"
"66.667%","0","True","7","9"
"100.000%","0","True","9","9"
"50.000%","0","True","8","9"
"100.000%","0","True","11","9"
"100.000%","0","True","11","9"
"100.000%","0","True","9","9"
"100.000%","0","True","8","9"
"0.000%","8","False","6","9"
"0.000%","10","False","8","9"
"100.000%","0","True","10","9"
"30.000%","0","True","10","9"
"100.000%","0","True","8","9"
"100.000%","0","True","11","9"
"0.000%","48","False","12","9"
"0.000%","8","False","6","9"
"25.000%","0","True","9","9"
"0.000%","60","False","12","9"
"0.000%","25","False","11","9"
"0.000%","12","False","9","9"
"0.000%","6","False","6","9"
"100.000%","0","True","11","9"
"100.000%","0","True","11","9"
"0.000%","48","False","11","9"
"80.000%","0","True","10","9"
"62.500%","0","True","12","9"
"0.000%","12","False","8","9"
"0.000%","12","False","8","9"
"28.571%","0","True","7","9"
"45.455%","0","True","11","9"
"45.455%","0","True","11","9"
"50.000%","0","True","10","9"
"100.000%","0","True","10","9"
"100.000%","0","True","6","9"
"0.000%","30","False","10","9"
"0.000%","4","False","6","9"
"75.000%","0","True","10","9"
"0.000%","10","False","8","9"
"50.000%","0","True","10","9"
"40.000%","0","True","8","9"
"25.000%","0","True","10","9"
"0.000%","12","False","9","9"
"14.286%","0","True","7","9"
"0.000%","40","False","11","9"
"0.000%","36","False","11","9"
