Overlap,Length,Incompatibility,PrivacySize,UtilitySize
"0.000%","24","False","10","11"
"100.000%","0","True","17","13"
"83.333%","0","True","12","10"
"71.429%","0","True","12","15"
"40.000%","0","True","10","11"
"100.000%","0","True","8","11"
"100.000%","0","True","14","7"
"14.286%","0","True","8","10"
"100.000%","0","True","12","16"
"25.000%","48","False","16","9"
"100.000%","0","True","13","14"
"80.000%","0","True","7","16"
"66.667%","0","True","4","4"
"0.000%","10","False","8","8"
"0.000%","12","False","7","9"
"0.000%","5","False","7","12"
"40.000%","0","True","8","10"
"33.333%","10","False","12","5"
"100.000%","0","True","12","10"
"25.000%","0","True","12","8"
"0.000%","90","False","14","10"
"0.000%","15","False","9","9"
"20.000%","18","False","10","8"
"100.000%","0","True","12","8"
"60.000%","0","True","6","10"
"100.000%","0","True","12","11"
"58.333%","0","True","17","15"
"50.000%","0","True","7","11"
"100.000%","0","True","10","7"
"50.000%","0","True","7","11"
"37.500%","0","True","8","10"
"80.000%","0","True","9","14"
"0.000%","60","False","12","16"
"0.000%","15","False","9","4"
"60.000%","0","True","6","12"
"41.667%","8","False","12","12"
"20.000%","0","True","10","9"
"100.000%","0","True","12","9"
"0.000%","60","False","13","5"
"0.000%","15","False","9","9"
"53.846%","6","False","13","5"
"37.500%","0","True","16","14"
"80.000%","0","True","8","14"
"62.500%","0","True","14","10"
"0.000%","2","False","4","5"
"85.714%","0","True","9","6"
"42.857%","2","False","7","13"
"83.333%","0","True","7","12"
"0.000%","24","False","11","4"
"57.143%","0","True","9","7"
"100.000%","0","True","7","6"
"11.111%","18","False","9","12"
"75.000%","0","True","9","12"
"50.000%","0","True","10","10"
"6.250%","120","False","16","8"
"0.000%","90","False","14","10"
"40.000%","0","True","5","6"
"7.692%","50","False","13","9"
"0.000%","100","False","14","7"
"11.111%","0","True","9","11"
"33.333%","6","False","9","9"
"71.429%","0","True","13","13"
"0.000%","6","False","6","8"
"16.667%","24","False","12","12"
"46.154%","0","True","13","11"
"45.455%","6","False","11","10"
"75.000%","0","True","8","6"
"11.765%","125","False","17","8"
"33.333%","0","True","7","5"
"33.333%","18","False","12","8"
"60.000%","0","True","12","9"
"0.000%","12","False","9","12"
"100.000%","0","True","8","12"
"20.000%","0","True","5","9"
"38.462%","6","False","13","13"
"100.000%","0","True","10","4"
"0.000%","3","False","5","9"
"0.000%","3","False","5","15"
"0.000%","4","False","5","7"
"0.000%","18","False","10","12"
"40.000%","6","False","10","12"
"100.000%","0","True","9","8"
"66.667%","0","True","12","9"
"50.000%","0","True","12","16"
"100.000%","0","True","14","3"
