Overlap,Length,Incompatibility,PrivacySize,UtilitySize
"100.000%","0","True","11","8"
"16.667%","9","False","12","10"
"66.667%","3","False","15","9"
"41.667%","9","False","12","12"
"25.000%","0","True","8","8"
"66.667%","0","True","6","12"
"53.333%","3","False","15","12"
"100.000%","0","True","8","6"
"100.000%","0","True","13","13"
"100.000%","0","True","8","7"
"71.429%","0","True","10","10"
"64.286%","0","True","14","14"
"100.000%","0","True","7","9"
"66.667%","0","True","10","6"
"20.000%","12","False","10","7"
"100.000%","0","True","12","8"
"0.000%","6","False","5","7"
"25.000%","0","True","6","11"
"69.231%","0","True","13","11"
"100.000%","0","True","6","7"
"46.154%","6","False","13","7"
"50.000%","0","True","8","13"
"37.500%","6","False","16","14"
"100.000%","0","True","7","12"
"100.000%","0","True","11","12"
"100.000%","0","True","9","3"
"100.000%","0","True","13","9"
"72.727%","0","True","11","10"
"31.250%","6","False","16","8"
"50.000%","6","False","12","7"
"100.000%","0","True","10","12"
"100.000%","0","True","8","8"
"66.667%","0","True","12","13"
"36.364%","3","False","11","11"
"71.429%","0","True","12","13"
"57.143%","0","True","7","14"
"71.429%","0","True","13","14"
"0.000%","9","False","13","9"
"100.000%","0","True","7","7"
"25.000%","3","False","8","6"
"28.571%","12","False","14","6"
"23.077%","18","False","13","12"
"52.941%","9","False","17","17"
"53.333%","3","False","15","9"
"0.000%","3","False","5","6"
"57.143%","0","True","12","18"
"75.000%","0","True","8","9"
"61.538%","9","False","13","11"
"42.857%","3","False","7","16"
"0.000%","12","False","12","13"
"100.000%","0","True","15","12"
"100.000%","0","True","7","13"
"53.333%","3","False","15","9"
"37.500%","0","True","8","7"
"14.286%","3","False","7","10"
"50.000%","6","False","14","11"
"60.000%","3","False","10","9"
"33.333%","6","False","9","10"
"36.364%","3","False","11","8"
"66.667%","3","False","9","11"
"0.000%","3","False","5","8"
"75.000%","0","True","10","11"
"36.364%","9","False","11","11"
"100.000%","0","True","5","8"
"42.857%","3","False","7","6"
"50.000%","0","True","6","10"
"100.000%","0","True","7","12"
"7.143%","9","False","14","11"
"70.000%","0","True","10","11"
"42.857%","6","False","14","9"
"23.077%","0","True","13","4"
"60.000%","3","False","10","10"
"100.000%","0","True","8","5"
