Overlap,Length,Incompatibility,PrivacySize,UtilitySize
"0.000%","432","False","9","10"
"0.000%","405","False","9","8"
"100.000%","0","True","9","9"
"100.000%","0","True","9","9"
"60.000%","0","True","9","12"
"100.000%","0","True","9","12"
"22.222%","0","True","9","10"
"37.500%","0","True","9","9"
"44.444%","0","True","9","11"
"100.000%","0","True","9","11"
"60.000%","0","True","9","7"
"33.333%","0","True","9","9"
"0.000%","405","False","9","10"
"100.000%","0","True","9","12"
"0.000%","648","False","9","10"
"0.000%","540","False","9","6"
"0.000%","432","False","9","9"
"100.000%","0","True","9","10"
"0.000%","432","False","9","9"
"0.000%","405","False","9","10"
"25.000%","0","True","9","9"
"0.000%","540","False","9","9"
"0.000%","405","False","9","9"
"25.000%","0","True","9","9"
"71.429%","0","True","9","8"
"100.000%","0","True","9","10"
"0.000%","405","False","9","10"
"22.222%","0","True","9","10"
"22.222%","0","True","9","11"
"0.000%","432","False","9","11"
"66.667%","0","True","9","12"
"100.000%","0","True","9","8"
"100.000%","0","True","9","10"
"0.000%","405","False","9","10"
"100.000%","0","True","9","12"
"100.000%","0","True","9","11"
"33.333%","0","True","9","10"
"75.000%","0","True","9","10"
"0.000%","405","False","9","11"
"0.000%","540","False","9","11"
"100.000%","0","True","9","12"
"100.000%","0","True","9","10"
"100.000%","0","True","9","9"
"75.000%","0","True","9","8"
"44.444%","0","True","9","12"
"0.000%","648","False","9","10"
"11.111%","0","True","9","10"
"0.000%","648","False","9","9"
"25.000%","0","True","9","11"
"11.111%","0","True","9","8"
"100.000%","0","True","9","10"
"0.000%","324","False","9","12"
"0.000%","405","False","9","8"
"0.000%","324","False","9","12"
"0.000%","432","False","9","7"
"0.000%","405","False","9","8"
"33.333%","0","True","9","10"
"100.000%","0","True","9","11"
"0.000%","324","False","9","11"
"0.000%","648","False","9","8"
"0.000%","432","False","9","8"
"100.000%","0","True","9","12"
"100.000%","0","True","9","10"
"0.000%","540","False","9","10"
"0.000%","432","False","9","7"
"0.000%","324","False","9","11"
"11.111%","0","True","9","7"
"100.000%","0","True","9","6"
"100.000%","0","True","9","9"
"0.000%","540","False","9","11"
"100.000%","0","True","9","8"
"20.000%","0","True","9","6"
"100.000%","0","True","9","11"
"0.000%","405","False","9","11"
"0.000%","324","False","9","10"
"75.000%","0","True","9","11"
"62.500%","0","True","9","10"
"0.000%","432","False","9","12"
"0.000%","432","False","9","11"
"11.111%","0","True","9","8"
"50.000%","0","True","9","9"
"0.000%","405","False","9","12"
"0.000%","432","False","9","12"
"0.000%","648","False","9","12"
"62.500%","0","True","9","8"
"100.000%","0","True","9","9"
"44.444%","0","True","9","9"
"66.667%","0","True","9","12"
"44.444%","0","True","9","8"
"11.111%","0","True","9","7"
"100.000%","0","True","9","12"
"100.000%","0","True","9","11"
"0.000%","432","False","9","9"
"0.000%","540","False","9","9"
"0.000%","648","False","9","12"
