Overlap,Length,Incompatibility,PrivacySize,UtilitySize
"0.000%","810","False","10","9"
"0.000%","1296","False","12","9"
"0.000%","162","False","6","9"
"60.000%","0","True","11","9"
"0.000%","540","False","10","9"
"0.000%","648","False","9","9"
"0.000%","243","False","7","9"
"40.000%","0","True","9","9"
"100.000%","0","True","8","9"
"0.000%","1296","False","12","9"
"100.000%","0","True","11","9"
"60.000%","0","True","11","9"
"0.000%","324","False","7","9"
"100.000%","0","True","12","9"
"0.000%","432","False","9","9"
"37.500%","0","True","8","9"
"0.000%","648","False","11","9"
"0.000%","486","False","10","9"
"100.000%","0","True","12","9"
"0.000%","270","False","8","9"
"100.000%","0","True","10","9"
"0.000%","1215","False","11","9"
"54.545%","0","True","11","9"
"100.000%","0","True","12","9"
"100.000%","0","True","11","9"
"0.000%","162","False","8","9"
"0.000%","405","False","9","9"
"100.000%","0","True","7","9"
"55.556%","0","True","11","9"
"0.000%","1296","False","12","9"
"0.000%","162","False","8","9"
"0.000%","324","False","9","9"
"0.000%","1458","False","12","9"
"14.286%","0","True","11","9"
"0.000%","540","False","10","9"
"85.714%","0","True","10","9"
"41.667%","0","True","12","9"
"0.000%","1620","False","12","9"
"0.000%","648","False","11","9"
"50.000%","0","True","10","9"
"0.000%","810","False","12","9"
"100.000%","0","True","9","9"
"0.000%","405","False","9","9"
"0.000%","648","False","9","9"
"100.000%","0","True","8","9"
"16.667%","0","True","6","9"
"100.000%","0","True","9","9"
"100.000%","0","True","9","9"
"0.000%","675","False","11","9"
"0.000%","486","False","10","9"
"100.000%","0","True","12","9"
"0.000%","972","False","11","9"
"0.000%","486","False","10","9"
"100.000%","0","True","7","9"
"100.000%","0","True","10","9"
"0.000%","540","False","10","9"
"20.000%","0","True","10","9"
"100.000%","0","True","12","9"
"0.000%","1458","False","12","9"
"80.000%","0","True","8","9"
"0.000%","432","False","9","9"
"0.000%","135","False","7","9"
"100.000%","0","True","9","9"
"0.000%","972","False","11","9"
"0.000%","1080","False","11","9"
"0.000%","135","False","7","9"
"0.000%","1458","False","12","9"
"57.143%","0","True","10","9"
"0.000%","810","False","10","9"
"0.000%","810","False","12","9"
"20.000%","0","True","10","9"
"0.000%","162","False","6","9"
"0.000%","216","False","7","9"
"40.000%","0","True","10","9"
"0.000%","162","False","6","9"
"0.000%","162","False","6","9"
"0.000%","162","False","8","9"
"9.091%","0","True","11","9"
"0.000%","162","False","6","9"
