Overlap,Length,Incompatibility,PrivacySize,UtilitySize
"71.429%","0","True","10","9"
"25.000%","0","True","12","9"
"12.500%","135","False","8","9"
"28.571%","81","False","7","9"
"100.000%","0","True","12","9"
"66.667%","0","True","8","9"
"66.667%","0","True","9","9"
"62.500%","0","True","8","9"
"20.000%","324","False","10","9"
"27.273%","0","True","11","9"
"77.778%","0","True","9","9"
"0.000%","1350","False","12","9"
"25.000%","324","False","12","9"
"11.111%","486","False","9","9"
"100.000%","0","True","8","9"
"28.571%","0","True","12","9"
"44.444%","0","True","9","9"
"50.000%","0","True","8","9"
"0.000%","810","False","12","9"
"100.000%","0","True","8","9"
"100.000%","0","True","10","9"
"100.000%","0","True","7","9"
"50.000%","0","True","11","9"
"100.000%","0","True","12","9"
"100.000%","0","True","10","9"
"25.000%","0","True","12","9"
"100.000%","0","True","12","9"
"42.857%","0","True","7","9"
"100.000%","0","True","9","9"
"22.222%","216","False","9","9"
"9.091%","648","False","11","9"
"0.000%","405","False","9","9"
"10.000%","324","False","10","9"
"100.000%","0","True","11","9"
"27.273%","324","False","11","9"
"44.444%","108","False","9","9"
"100.000%","0","True","7","9"
"50.000%","0","True","8","9"
"10.000%","405","False","10","9"
"100.000%","0","True","9","9"
"0.000%","270","False","8","9"
"16.667%","81","False","6","9"
"100.000%","0","True","10","9"
"100.000%","0","True","8","9"
"66.667%","0","True","8","9"
"100.000%","0","True","7","9"
"54.545%","81","False","11","9"
"50.000%","108","False","12","9"
"45.455%","108","False","11","9"
"100.000%","0","True","7","9"
"50.000%","0","True","10","9"
"0.000%","324","False","9","9"
"62.500%","27","False","8","9"
"0.000%","729","False","9","9"
"37.500%","108","False","8","9"
"100.000%","0","True","10","9"
"83.333%","0","True","12","9"
"100.000%","0","True","11","9"
"36.364%","324","False","11","9"
"100.000%","0","True","7","9"
"100.000%","0","True","8","9"
"25.000%","0","True","8","9"
"0.000%","648","False","10","9"
"30.000%","0","True","10","9"
"100.000%","0","True","8","9"
"0.000%","486","False","8","9"
"9.091%","810","False","11","9"
"71.429%","0","True","12","9"
"100.000%","0","True","10","9"
"0.000%","540","False","9","9"
"10.000%","648","False","10","9"
"100.000%","0","True","9","9"
"100.000%","0","True","11","9"
"22.222%","243","False","9","9"
"40.000%","0","True","11","9"
"16.667%","81","False","6","9"
"22.222%","216","False","9","9"
